t1,T1,t2,T2
1,298.8471243,1,299.5770669
2,299.5973749,2,300.0750905
3,300.3997805,3,300.5527822
4,301.0356849,4,300.9642514
5,301.593795,5,301.357058
6,302.0852641,6,301.7250314
7,302.5350478,7,302.0784269
8,302.9520822,8,302.4129635
9,303.3418554,9,302.7398639
10,303.712146,10,303.0522794
11,304.0631314,11,303.3605554
12,304.4012806,12,303.6579123
13,304.7248302,13,303.9527909
14,305.0394526,14,304.2387384
15,305.3424807,15,304.5233969
16,305.6390014,16,304.8002447
17,305.9261049,17,305.0771213
18,306.2084161,18,305.3467105
19,306.4826215,19,305.6172854
20,306.7534099,20,305.8814067
21,307.0172439,21,306.1463785
22,307.2784161,22,306.4053824
23,307.5335221,23,306.6661597
24,307.7867752,24,306.9209549
25,308.0345189,25,307.1774048
26,308.2809953,26,307.4282692
27,308.5224531,27,307.6814896
28,308.7630328,28,307.9292895
29,308.9991094,29,308.1795031
30,309.2346297,30,308.4242333
31,309.4658482,31,308.6720813
32,309.6077965,32,308.9164478
33,309.830359,33,309.1615778
34,309.9752133,34,309.4027649
35,310.223974,35,309.6448449
36,310.3730466,36,309.8837364
37,310.6268751,37,310.1238365
38,310.7871838,38,310.3607245
39,311.0333658,39,310.5990158
40,311.2146364,40,310.8330689
41,311.4345965,41,311.070487
42,311.6304288,42,311.3025498
43,311.7997532,43,311.5386244
44,312.0424922,44,311.7690066
45,312.2105129,45,312.0028707
46,312.452014,46,312.231788
47,312.6186642,47,312.4647416
48,312.8584018,48,312.6919854
49,313.0229179,49,312.9216742
50,313.2604197,50,313.1468842
51,313.422979,51,313.3765154
52,313.6586034,52,313.6006957
53,313.8193657,53,313.8286474
54,314.0427633,54,314.0515293
55,314.1953228,55,314.2781851
56,314.4146782,56,314.4998156
57,314.5657708,57,314.7253763
58,314.78449,58,314.9460116
59,314.935189,59,315.1704464
60,315.1534087,60,315.3898103
61,315.3034044,61,315.6129696
62,315.5208087,62,315.8312529
63,315.6701022,63,316.0533768
64,315.8866052,64,316.2703646
65,316.0347058,65,316.4911503
66,316.250135,66,316.7073888
67,316.3971754,67,316.927421
68,316.6116116,68,317.1421506
69,316.5659007,69,317.3608658
70,316.8663442,70,317.5747273
71,316.9792312,71,317.7925757
72,317.1943017,72,318.0051608
73,317.4090998,73,318.2218883
74,317.6231993,74,318.43365
75,317.837154,75,318.6496369
76,318.0502871,76,318.860249
77,318.2631288,77,319.0749077
78,318.4752718,78,319.2847108
79,318.6871942,79,319.4984735
80,318.898446,80,319.707146
81,319.1095591,81,319.9202433
82,319.3198668,82,320.1280673
83,319.5298629,83,320.3396806
84,319.7392382,84,320.546807
85,319.948418,85,320.7577832
86,320.156931,86,320.9639988
87,320.3653073,87,321.1741357
88,320.572908,88,321.3793461
89,320.7804175,89,321.5882191
90,320.9872325,90,321.79326
91,321.1939446,91,322.0009462
92,321.4000283,92,322.205508
93,321.6059185,93,322.4119181
94,321.8110692,94,322.6154125
95,322.0160778,95,322.8213069
96,322.2205102,96,323.0237044
97,322.4250169,97,323.2284491
98,322.6286563,98,323.4305316
99,322.8322846,99,323.6341565
100,323.0350771,100,323.8348745
101,323.2379386,101,324.0382124
102,323.4400038,102,324.2387166
103,323.6419714,103,324.4404877
104,323.8431714,104,324.6401586
105,324.0442981,105,324.841091
106,324.2445808,106,325.0398395
107,324.4449261,107,325.2401039
108,324.6444555,108,325.4381292
109,324.8440888,109,325.6377262
110,325.0429521,110,325.8351359
111,325.2418043,111,326.0338761
112,325.4399811,112,326.2307562
113,325.6380763,113,326.4286407
114,325.8353289,114,326.6244018
115,326.0326184,115,326.8214438
116,326.2291642,116,327.0166898
117,326.4257832,117,327.2131563
118,326.6216855,118,327.4078526
119,326.8175706,119,327.603453
120,327.0128258,120,327.7976358
121,327.2079775,121,327.9923901
122,327.4023333,122,328.1854699
123,327.5967136,123,328.3795135
124,327.7903552,124,328.5719468
125,327.9841058,125,328.7655499
126,328.1771336,126,328.9573467
127,328.3701729,127,329.150166
128,328.5626027,128,329.3414795
129,328.754932,129,329.5334258
130,328.9464715,130,329.7236467
131,329.1380708,131,329.9149689
132,329.3289513,132,330.1046619
133,329.5199024,133,330.2952618
134,329.7101073,134,330.4843539
135,329.900368,135,330.6742461
136,330.0899081,136,330.8626507
137,330.2795641,137,331.0521041
138,330.4684668,138,331.2397838
139,330.6574124,139,331.4282781
140,330.8456226,140,331.6154155
141,331.0339576,141,331.8035075
142,331.2215375,142,331.9898519
143,331.4091962,143,332.1771508
144,331.5961346,144,332.3630047
145,331.783152,145,332.5496258
146,331.9694736,146,332.7349616
147,332.1558679,147,332.9209431
148,332.3415492,148,333.1054882
149,332.5273077,149,333.2908926
150,332.7123525,150,333.4748673
151,332.8974733,151,333.6595713
152,333.0818803,152,333.842864
153,333.2663889,153,334.0270547
154,333.4501636,154,334.2095697
155,333.6340283,155,334.3931759
156,333.8171989,156,334.5752434
157,334.0004689,157,334.7581913
158,334.1830113,158,334.9395834
159,334.3656616,159,335.1219212
160,334.5476078,160,335.3027356
161,334.7296652,161,335.4844955
162,334.911025,162,335.6647457
163,335.0924731,163,335.8457985
164,335.273242,164,336.0255663
165,335.4541135,165,336.206067
166,335.6342871,166,336.385094
167,335.8145353,167,336.5649479
168,335.9941153,168,336.7434743
169,336.1737918,169,336.9227808
170,336.352791,170,337.1007065
171,336.5318719,171,337.2794271
172,336.7103081,172,337.4568389
173,336.8888069,173,337.6349051
174,337.0666485,174,337.8117038
175,337.2445775,175,337.9892369
176,337.4218556,176,338.1655067
177,337.5992313,177,338.3425083
178,337.7759462,178,338.5181022
179,337.9527562,179,338.6945951
180,338.1289332,180,338.8698047
181,338.3051912,181,339.0459009
182,338.4807872,182,339.2202172
183,338.6564736,183,339.3961509
184,338.8315433,184,339.5699974
185,339.0065546,185,339.7452166
186,339.1810227,186,339.9184406
187,339.3555812,187,340.0932103
188,339.5295446,188,340.2659926
189,339.7035746,189,340.4402318
190,339.8769869,190,340.612383
191,340.0504615,191,340.7860812
192,340.2233534,192,340.9577784
193,340.3962943,193,341.1308859
194,340.5686327,194,341.3020074
195,340.7410162,195,341.4745624
196,340.91284,196,341.6451985
197,341.0847121,197,341.8172866
198,341.2559811,198,341.9872934
199,341.4266069,199,342.1581182
200,341.5970171,200,342.3273314
201,341.7675693,201,342.4981366
202,341.9375998,202,342.6669875
203,342.1076678,203,342.8372601
204,342.277208,204,343.005543
205,342.4468035,205,343.175447
206,342.615842,206,343.3431865
207,342.7849169,207,343.5125447
208,342.9534452,208,343.6797939
209,343.1220303,209,343.8486955
210,343.2900591,210,344.0154169
211,343.4581134,211,344.1836917
212,343.6256328,212,344.3499915
213,343.7931905,213,344.5178224
214,343.9601872,214,344.6834618
215,344.127212,215,344.8506847
216,344.2936811,216,345.0158478
217,344.4602197,217,345.1826638
218,344.6262181,218,345.3473876
219,344.792249,219,345.5136497
220,344.9577623,220,345.6779395
221,345.1233308,221,345.8437757
222,345.2884165,222,346.0077044
223,345.4534776,223,346.1729498
224,345.6180726,224,346.339477
225,345.7826255,225,346.5092684
226,345.9467279,226,346.678799
227,346.1107622,227,346.8480697
228,346.2743785,228,347.0170813
229,346.4379293,229,347.1858345
230,346.6010494,230,347.3543301
231,346.7641074,231,347.5225691
232,346.9267614,232,347.6905521
233,347.0893785,233,347.8582799
234,347.2515683,234,348.0257534
235,347.4136837,235,348.1929733
236,347.5754011,236,348.3599403
237,347.7370747,237,348.5266553
238,347.8983341,238,348.6931189
239,348.059525,239,348.859332
240,348.2203095,240,349.0252953
241,348.3810511,241,349.1910095
242,348.5413877,242,349.3564754
243,348.7016422,243,349.5216937
244,348.8615145,244,349.6866651
245,349.0213373,245,349.8513904
246,349.1807489,246,350.0158702
247,349.3400886,247,350.1801054
248,349.4990442,248,350.3440965
249,349.6579686,249,350.5078444
250,349.8164846,250,350.6713496
251,349.9749073,251,350.8346129
252,350.1329601,252,350.997635
253,350.2909723,253,351.1604165
254,350.4485986,254,351.3229582
255,350.6061324,255,351.4852607
256,350.7632911,256,351.6473247
257,350.9203827,257,351.8091508
258,351.0770889,258,351.9707397
259,351.2337406,259,352.1320921
260,351.3899761,260,352.2932085
261,351.546201,261,352.4540897
262,351.7020065,262,352.6147363
263,351.8577795,263,352.7751489
264,352.0131759,264,352.9353282
265,352.1685193,265,353.0952747
266,352.3234546,266,353.2549891
267,352.4783966,267,353.414472
268,352.6329189,268,353.5737241
269,352.7874232,269,353.7327458
270,352.941542,270,353.891538
271,353.0955606,271,354.050101
272,353.2492029,272,354.2084356
273,353.4028118,273,354.3665424
274,353.5560167,274,354.5244218
275,353.7091533,275,354.6821045
276,353.8619545,276,354.8395712
277,354.0147186,277,354.9968123
278,354.1670772,278,355.1538285
279,354.3194335,279,355.3106204
280,354.4713803,280,355.4671886
281,354.6232949,281,355.6235335
282,354.7748479,282,355.7796557
283,354.9263139,283,355.9355559
284,355.0774184,284,356.0912345
285,355.2284965,285,356.2466921
286,355.3791824,286,356.4019292
287,355.5297921,287,356.5569465
288,355.6800877,288,356.7117443
289,355.8303061,289,356.8663233
290,355.9801608,290,357.020684
291,356.1299479,291,357.1748269
292,356.2794127,292,357.3287525
293,356.4288139,293,357.4824613
294,356.5778559,294,357.6359539
295,356.7268389,295,357.7892308
296,356.8754598,296,357.9422925
297,357.0240791,297,358.0951394
298,357.1722861,298,358.2477722
299,357.320459,299,358.4001913
300,357.4683032,300,358.5523971
301,357.6160713,301,358.7043903
302,357.7634771,302,358.8561712
303,357.9108796,303,359.0077404
304,358.0563015,304,359.1590985
305,358.2019751,305,359.3102458
306,358.3476256,306,359.4611828
307,358.4934368,307,359.6119099
308,358.6390359,308,359.7624276
309,358.7847477,309,359.9127362
310,358.9301308,310,360.062836
311,359.0755137,311,360.2127275
312,359.2206106,312,360.362411
313,359.3657169,313,360.5118869
314,359.5105168,314,360.6611554
315,359.6552685,315,360.8102171
316,359.7997055,316,360.9590723
317,359.9441383,317,361.1077214
318,360.0882615,318,361.2561649
319,360.2322796,319,361.4044032
320,360.3759781,320,361.5524367
321,360.5197051,321,361.7002658
322,360.6630628,322,361.8478911
323,360.8063582,323,361.9953131
324,360.9493638,324,362.1425321
325,361.0923058,325,362.2895486
326,361.2349136,326,362.4363632
327,361.3774787,327,362.5829762
328,361.5197102,328,362.7293882
329,361.6619265,329,362.8755997
